"Subha","TFT6_Augment_BruteEmblem2","TFT6_Augment_Phalanx1","TFT6_Augment_Weakspot2","1",
"Subha","TFT6_Augment_Backfoot1","TFT6_Augment_CelestialBlessing1","TFT6_Augment_Backfoot2","1",
"Subha","TFT6_Augment_CelestialBlessing1","TFT6_Augment_CyberneticShell1","TFT6_Augment_CyberneticShell2","1",
"Subha","TFT6_Augment_ChemtechTrait","TFT6_Augment_FirstAidKit","TFT6_Augment_JeweledLotus","3",
"Subha","TFT6_Augment_Disintegrator2","TFT6_Augment_StrikerConcussiveBlows","TFT6_Augment_ColossusArmorPlating","2",
"Subha","TFT6_Augment_HextechStoredPower","TFT6_Augment_Battlemage1","TFT6_Augment_ArcanistSpellBlade","3",
"Subha","TFT6_Augment_ThreesCompany","TFT6_Augment_Backfoot2","TFT6_Augment_Meditation2","1",
"Subha","TFT6_Augment_StrikerEmblem","TFT6_Augment_FourScore","TFT6_Augment_ScrapEmblem","1",
"Subha","TFT6_Augment_ChemtechEmblem","TFT6_Augment_PortableForge","TFT6_Augment_Diversify2","2",
"Subha","TFT6_Augment_TreasureTrove2","TFT6_Augment_Battlemage1","TFT6_Augment_ExperimentalTrait","3",
"Subha","TFT6_Augment_MercenaryGoldReserves","TFT6_Augment_FourScore","TFT6_Augment_HighEndShopping","8",
"Subha","TFT6_Augment_TrueTwos","TFT6_Augment_Electrocharge1","TFT6_Augment_Disintegrator2","2",
"Subha","TFT6_Augment_BlueBattery1","TFT6_Augment_SecondWind1","TFT6_Augment_SunfireBoard","2",
"Subha","TFT6_Augment_HyperRoll","TFT6_Augment_LudensEcho2","TFT6_Augment_BruteEmblem","3",
"Subha","TFT6_Augment_ChemtechForAllUnits","TFT6_Augment_Weakspot","TFT6_Augment_ThrillOfTheHunt2","5",
"Subha","TFT6_Augment_LudensEcho1","TFT6_Augment_DebonairIrresistible","TFT6_Augment_PortableForge","2",
"no more cry","TFT6_Augment_ChallengerForAllUnits","TFT6_Augment_JeweledLotus","TFT6_Augment_BinaryAirdrop","6",
"no more cry","TFT6_Augment_Battlemage1","TFT6_Augment_MercenaryEmblem","TFT6_Augment_CyberneticUplink2","1",
"no more cry","TFT6_Augment_ThrillOfTheHunt1","TFT6_Augment_FourScore","TFT6_Augment_HighEndShopping","3",
"no more cry","TFT6_Augment_EnchanterTrait2","TFT6_Augment_EnchanterArdentCenser","TFT6_Augment_Disintegrator3","1",
"no more cry","TFT6_Augment_TinyTitans","TFT6_Augment_Backfoot2","TFT6_Augment_Phalanx2","2",
"no more cry","TFT6_Augment_ClockworkTrait","TFT6_Augment_Windfall","TFT6_Augment_EnchanterTrait","2",
"no more cry","TFT6_Augment_Archangel2","TFT6_Augment_GoldenGifts1","TFT6_Augment_CyberneticUplink2","2",
"no more cry","TFT6_Augment_Phalanx2","TFT6_Augment_Meditation1","TFT6_Augment_Archangel2","2",
"no more cry","TFT6_Augment_EnchanterTrait","TFT6_Augment_TinyTitans","TFT6_Augment_PortableForge","5",
"no more cry","TFT6_Augment_MercenaryEmblem","TFT6_Augment_TomeOfTraits1","TFT6_Augment_SecondWind2","1",
"no more cry","TFT6_Augment_Phalanx1","TFT6_Augment_FourScore","TFT6_Augment_BinaryAirdrop","1",
"no more cry","TFT6_Augment_TomeOfTraits1","TFT6_Augment_Recombobulator","TFT6_Augment_BinaryAirdrop","1",
"FingerLicker","TFT6_Augment_Meditation2","TFT6_Augment_ItemGrabBag2","TFT6_Augment_HighFive","1",
"FingerLicker","TFT6_Augment_ComponentGrabBag","TFT6_Augment_Underdogs","TFT6_Augment_Backfoot2","4",
"FingerLicker","TFT6_Augment_ItemGrabBag1","TFT6_Augment_BruteEmblem","TFT6_Augment_SecondWind2","4",
"FingerLicker","TFT6_Augment_CyberneticShell2","TFT6_Augment_ThrillOfTheHunt1","TFT6_Augment_HighFive","2",
"FingerLicker","TFT6_Augment_TargetDummies","TFT6_Augment_BruteTrait","TFT6_Augment_Weakspot2","1",
"FingerLicker","TFT6_Augment_JeweledLotus","TFT6_Augment_BruteTrait","TFT6_Augment_Battlemage1","1",
"FingerLicker","TFT6_Augment_BrawlerHPRegen1","TFT6_Augment_Weakspot2","TFT6_Augment_ThrillOfTheHunt2","1",
"FingerLicker","TFT6_Augment_HeroStandBehindMe","TFT6_Augment_LudensEcho1","TFT6_Augment_PortableForge","4",
"FingerLicker","TFT6_Augment_LudensEcho1","TFT6_Augment_Weakspot","TFT6_Augment_Backfoot2","2",
"xiao dian dian","TFT6_Augment_RadiantRelics","TFT6_Augment_ThrillOfTheHunt1","TFT6_Augment_MakeshiftArmor2","1",
"xiao dian dian","TFT6_Augment_EnchanterArdentCenser","TFT6_Augment_BinaryAirdrop","TFT6_Augment_Phalanx2","1",
"xiao dian dian","TFT6_Augment_Battlemage2","TFT6_Augment_TomeOfTraits1","TFT6_Augment_Disintegrator2","7",
"xiao dian dian","TFT6_Augment_Backfoot1","TFT6_Augment_Weakspot","TFT6_Augment_ChemtechForAllUnits","6",
"xiao dian dian","TFT6_Augment_ComponentGrabBag","TFT6_Augment_Weakspot","TFT6_Augment_SecondWind1","3",
"xiao dian dian","TFT6_Augment_StrikerTrait","TFT6_Augment_StrikerOverpower","TFT6_Augment_PortableForge","2",
"xiao dian dian","TFT6_Augment_TomeOfTraits1","TFT6_Augment_SecondWind2","TFT6_Augment_CyberneticUplink2","1",
"D?shsoap","TFT6_Augment_YordleSoSmall","TFT6_Augment_TargetDummies","TFT6_Augment_Weakspot2","2",
"Soda Is A Cat","TFT6_Augment_ComponentGrabBag","TFT6_Augment_ThrillOfTheHunt2","TFT6_Augment_Keepers2","2",
"Soda Is A Cat","TFT6_Augment_ScrapTrait","TFT6_Augment_SunfireBoard","TFT6_Augment_CyberneticShell2","3",
"Soda Is A Cat","TFT6_Augment_CyberneticUplink2","TFT6_Augment_CyberneticShell2","TFT6_Augment_ThrillOfTheHunt2","1",
"Soda Is A Cat","TFT6_Augment_ComponentGrabBag","TFT6_Augment_JeweledLotus","TFT6_Augment_Weakspot2","1",
"? P","TFT6_Augment_SniperTrait","TFT6_Augment_GoldenGifts2","TFT6_Augment_BlueBattery1","4",
"? P","TFT6_Augment_EnforcerTrait","TFT6_Augment_SniperTrait","TFT6_Augment_HighFive","4",
"? P","TFT6_Augment_Archangel2","TFT6_Augment_Underdogs","TFT6_Augment_ComponentGrabBag","7",
"? P","TFT6_Augment_MeleeStarBlade2","TFT6_Augment_ChemtechTrait","TFT6_Augment_ChemtechForAllUnits","2",
"? P","TFT6_Augment_Ascension","TFT6_Augment_MakeshiftArmor2","undefined","8",
"? P","TFT6_Augment_Traitless3","TFT6_Augment_ItemGrabBag1","undefined","8",
"? P","TFT6_Augment_EnchanterTrait2","undefined","undefined","8",
"? P","TFT6_Augment_Weakspot","TFT6_Augment_Disintegrator1","TFT6_Augment_ThrillOfTheHunt2","7",
"J??","TFT6_Augment_TreasureTrove1","TFT6_Augment_ChallengerEnGarde","TFT6_Augment_Weakspot2","1",
"J??","TFT6_Augment_RadiantRelics","TFT6_Augment_TargetDummies","TFT6_Augment_Disintegrator2","2",
"J??","TFT6_Augment_Electrocharge1","TFT6_Augment_TomeOfTraits1","TFT6_Augment_Backfoot2","2",
"J??","TFT6_Augment_TreasureTrove1","TFT6_Augment_TinyTitans","TFT6_Augment_JeweledLotus","5",
"J??","TFT6_Augment_Weakspot3","TFT6_Augment_Disintegrator1","TFT6_Augment_SecondWind2","2",
"J??","TFT6_Augment_EnchanterTrait2","TFT6_Augment_ThrillOfTheHunt1","TFT6_Augment_SecondWind2","2",
"KurumBusinessAcc","TFT6_Augment_EnchanterArdentCenser","TFT6_Augment_ForceOfNature","TFT6_Augment_SocialiteShare","2",
"KurumBusinessAcc","TFT6_Augment_PandorasItems","TFT6_Augment_CyberneticUplink1","TFT6_Augment_PortableForge","4",
"KurumBusinessAcc","TFT6_Augment_HeroStandBehindMe","TFT6_Augment_JeweledLotus","TFT6_Augment_CyberneticUplink2","1",
"KurumBusinessAcc","TFT6_Augment_LudensEcho3","TFT6_Augment_BinaryAirdrop","TFT6_Augment_FuturePeepers","4",
"KurumBusinessAcc","TFT6_Augment_CyberneticShell1","TFT6_Augment_FuturePeepers","TFT6_Augment_CelestialBlessing3","3",
"PWV ???????????","TFT6_Augment_MakeshiftArmor3","TFT6_Augment_Disintegrator2","TFT6_Augment_Keepers2","4",
"PWV ???????????","TFT6_Augment_Backfoot1","TFT6_Augment_SecondWind1","TFT6_Augment_ComponentGrabBag","4",
"PWV ???????????","TFT6_Augment_StrikerOverpower","TFT6_Augment_FourScore","TFT6_Augment_SunfireBoard","7",
"PWV ???????????","TFT6_Augment_RadiantRelics","TFT6_Augment_PortableForge","TFT6_Augment_CyberneticShell2","2",
"PWV ???????????","TFT6_Augment_TrueTwos","TFT6_Augment_Ascension","TFT6_Augment_Weakspot2","2",
"PWV ???????????","TFT6_Augment_ClockworkTrait","TFT6_Augment_Meditation1","TFT6_Augment_HighFive","7",
"PWV ???????????","TFT6_Augment_MakeshiftArmor1","TFT6_Augment_Phalanx2","TFT6_Augment_ComponentGrabBag","7",
"PWV ???????????","TFT6_Augment_Weakspot","TFT6_Augment_PandorasItems","TFT6_Augment_HighFive","4",
"PWV ???????????","TFT6_Augment_PortableForge","TFT6_Augment_CelestialBlessing1","TFT6_Augment_CyberneticUplink2","4",
"PWV ???????????","TFT6_Augment_EnchanterArdentCenser","TFT6_Augment_ScrapEmblem","TFT6_Augment_BinaryAirdrop","1",
"PWV ???????????","TFT6_Augment_HeroEmblem","TFT6_Augment_Weakspot2","TFT6_Augment_Diversify3","1",
"PWV ???????????","TFT6_Augment_Weakspot2","TFT6_Augment_InnovatorTrait","TFT6_Augment_JeweledLotus","2",
"PWV ???????????","TFT6_Augment_TreasureTrove1","TFT6_Augment_BlueBattery1","TFT6_Augment_ColossusArmorPlating","1",
"PWV ???????????","TFT6_Augment_Underdogs","TFT6_Augment_TinyTitans","TFT6_Augment_SecondWind2","2",
"PWV ???????????","TFT6_Augment_HeroStandBehindMe","TFT6_Augment_Weakspot2","TFT6_Augment_BinaryAirdrop","4",
"PWV ???????????","TFT6_Augment_RadiantRelics","TFT6_Augment_BruteTrait","TFT6_Augment_ExperimentalEmblem","3",
"PWV ???????????","TFT6_Augment_TriForce1","TFT6_Augment_PortableForge","TFT6_Augment_CyberneticUplink2","7",
